Air Flow,Bearing Type,Color,Features,Kind,LED Color,Link,Manufacturer,Model,Name,Noise Level,Part #,Prices,RPM,Size,Static Pressure,avg,short_link,fan_size,air_flow,max_flow,min_flow,rpm,rpm_min,rpm_max,noise,has_LED,static_pressure
64.8 CFM,Teflon Nano Bearing,Brown/Black,"PWM-FUNCTION<br/>PWM (Pulse Width Modulation). PWM function automatically adjusts fan speeds according to the CPU temperature for efficient cooling and minimized fan noise<br/>Teflon Nano Bearing Technology<br/>TNB runs more smoothly with no friction, making the fan silent, powerful and highly durable (200,000hrs)",Case Fan,,/product/yGX2FT/rosewill-case-fan-rawp141209,Rosewill,,Rosewill RAWP-141209 64.8 CFM  120mm Fan,10.0 - 21.5 dbA,RAWP-141209,[10.99],500 - 1500 RPM,120mm,,10.99,rosewill-case-fan-rawp141209,120.0,64.8 ,64.8 ,64.8,500 - 1500 ,500.0,1500.0,21.5,No,0.0
27.0 - 92.0 CFM,Sleeve,Black,"Fan Speed: PWM mode: minimum 500 (±250) - 1,200 rpm (±10%)<br/>maximum 650 (±250) - 1,700 rpm (±10%)<br/>VR mode: 500 (±250) - 1,700 rpm (±10%)<br/>Air Flow: PWM mode: minimum 27.2 - 65.2 CFM (46 - 110 m³/h)<br/>maximum 35.36 - 92.4 CFM (60 - 157 m³/h)<br/>VR mode: 27.2 - 92.4 CFM (46 - 157 m³/h)<br/>Noise Level: PWM mode: minimum 9.6 - 23.2 dBA<br/>maximum 12.4 - 36.4 dBA<br/>VR mode: 9.6 - 36.4 dBA",Case Fan,,/product/xQFPxr/scythe-case-fan-sm1425sl12hpvcv,Scythe,Slipstream,Scythe Slipstream 92.0 CFM  140mm Fan,9.6 - 36.4 dbA,SM1425SL12HPVC-V,[9.99],500 - 1700 RPM,140mm,,9.99,scythe-case-fan-sm1425sl12hpvcv,140.0,27.0 - 92.0 ,92.0,27.0,500 - 1700 ,500.0,1700.0,36.4,No,0.0
63.9 CFM,,Blue,Apevia 120mm 4pin case fan (3 pk)<br/>With 4 led lights off<br/>With 4 led lights on,Case Fan,Blue,/product/HvXfrH/apevia-case-fan-cf312slubl,Apevia,CF312SL-UBL (3-Pack),Apevia CF312SL-UBL (3-Pack) 63.9 CFM  120mm Fans,29.7 dbA,CF312SL-UBL,"[16.99, 17.99]",1700 RPM,120mm,,17.49,apevia-case-fan-cf312slubl,120.0,63.9 ,63.9 ,63.9,1700 ,1700.0,1700.0,29.7,Yes,0.0
75.3 CFM,Aeronautical Oil System Bearing,Black,Material: P.B.T.<br/>Voltage Rating: 12 V<br/>Start Voltage: 9V<br/>Weight: 122 g<br/>4pcs. white LED.<br/>Copper axis with long life sleeve bearing to provide long-term life and stability.<br/>Waveform and enhanced lubricant circuits to provide outstanding aerodynamic efficiency.<br/>Wave Shaped and small hub dimension generate extra high airflow.<br/>Wave Blade technology increases 25% of air flow and drops 10% noise.,Case Fan,White,/product/wNdqqs/xigmatek-case-fan-xaff1254,Xigmatek,,Xigmatek XAF-F1254 75.3 CFM  120mm Fan,24.0 dbA,XAF-F1254,"[12.49, 15.99]",1500 RPM,120mm,,14.24,xigmatek-case-fan-xaff1254,120.0,75.3 ,75.3 ,75.3,1500 ,1500.0,1500.0,24.0,Yes,0.0
32.5 CFM,Sleeve,Black,Higher air flow to enhance cooling performance.<br/>Silent operation for case cooling.,Case Fan,,/product/9JJwrH/cooler-master-case-fan-r4s9s19akgp,Cooler Master,,Cooler Master R4-S9S-19AK-GP 32.5 CFM  92mm Fan,20.8 dbA,R4-S9S-19AK-GP,"[6.88, 6.99, 11.98, 6.99]",1900 RPM,92mm,,8.21,cooler-master-case-fan-r4s9s19akgp,92.0,32.5 ,32.5 ,32.5,1900 ,1900.0,1900.0,20.8,No,0.0
113.1 CFM,,Black,,Case Fan,,/product/wTXfrH/lamptron-case-fan-afc1212dpwm,Lamptron,,Lamptron AFC1212D-PWM 113.1 CFM  120mm Fan,46.5 dbA,AFC1212D-PWM,"[18.89, 19.99]",3400 RPM,120mm,,19.44,lamptron-case-fan-afc1212dpwm,120.0,113.1 ,113.1 ,113.1,3400 ,3400.0,3400.0,46.5,No,0.0
80.0 - 130.0 CFM,Sleeve,Black,Industry leading air channeling fan<br/>Wide fan blades for reducing air resistance<br/>Integrated air channeling grille double as fan guard to reduce overall size<br/>Low power consumption,Case Fan,,/product/H6JwrH/silverstone-case-fan-ap181,Silverstone,,Silverstone AP181 130.0 CFM  180mm Fan,18.0 - 34.0 dbA,AP181,"[25.99, 25.99]",700 - 1200 RPM,180mm,,25.99,silverstone-case-fan-ap181,180.0,80.0 - 130.0 ,130.0,80.0,700 - 1200 ,700.0,1200.0,34.0,No,0.0
74.5 CFM,Hydro Dynamic Bearing,Black,Pulse Width Modulation  (PWM)<br/>Silent Operation w/ Rubber Fan Mounts<br/>Optimized Fan Blades<br/>High Airflow &amp; High Static Pressure<br/>Long Lifetime (50000 h MTTF at 40 degrees C),Case Fan,,/product/XTGkcf/gelid-solutions-case-fan-fnpx1412,Gelid Solutions,Silent 14 PWM,Gelid Solutions Silent 14 PWM 74.5 CFM  140mm Fan,12.0 - 25.1 dbA,FN-PX14-12,"[14.98, 14.99, 19.94, 19.99, 20.99, 24.97]",750 - 1200 RPM,140mm,,19.31,gelid-solutions-case-fan-fnpx1412,140.0,74.5 ,74.5 ,74.5,750 - 1200 ,750.0,1200.0,25.1,No,0.0
50.3 CFM,,Black/Orange,,Case Fan,Orange,/product/D898TW/apevia-af312l-sog-503-cfm-120mm-fans-af312l-sog,Apevia,,Apevia AF312L-SOG 50.3 CFM  120mm Fans,21.1 dbA,AF312L-SOG,"[19.99, 23.99, 19.99]",1500 RPM,120mm,,21.3233333333,apevia-af312l-sog-503-cfm-120mm-fans-af312l-sog,120.0,50.3 ,50.3 ,50.3,1500 ,1500.0,1500.0,21.1,Yes,0.0
90.3 CFM,Aeronautical Oil System Bearing,White,Copper bushing axis Bearing to provide long-term life and stability.,Case Fan,,/product/z2JwrH/xigmatek-case-fan-xaff1452,Xigmatek,,Xigmatek XAF-F1452 90.3 CFM  140mm Fan,18.0 dbA,XAF-F1452,[21.0],800 - 1300 RPM,140mm,,21.0,xigmatek-case-fan-xaff1452,140.0,90.3 ,90.3 ,90.3,800 - 1300 ,800.0,1300.0,18.0,No,0.0
32.0 - 62.7 CFM,,Transparent,Vortex frame design integrates air flow for better cooling performance<br/>PWM speed control for the best balance of performance and silence<br/>Ultra silent spinning for case cooling solution,Case Fan,,/product/nc9KHx/lepa-case-fan-lpvx14p,LEPA,Vortex 14 PWM,LEPA Vortex 14 PWM 62.7 CFM  140mm Fan,15.0 - 20.0 dbA,LPVX14P,"[9.49, 7.35, 15.99]",600 - 1600 RPM,140mm,,10.9433333333,lepa-case-fan-lpvx14p,140.0,32.0 - 62.7 ,62.7,32.0,600 - 1600 ,600.0,1600.0,20.0,No,0.0
109.5 CFM,Hydro Dynamic,Black/Yellow,,Case Fan,,/product/CQXfrH/akasa-case-fan-akfn073,Akasa,,Akasa AK-FN073 109.5 CFM  140mm Fan,7.0 - 21.7 dbA,AK-FN073,[],600 - 1600 RPM,140mm,2.91 mm/H2O,0.0,akasa-case-fan-akfn073,140.0,109.5 ,109.5 ,109.5,600 - 1600 ,600.0,1600.0,21.7,No,2.91
86.7 CFM,Fluid Dynamic,Clear,High Pressure/CFM Design<br/>Dual Frame Construction<br/>Reinforced Fan Blades<br/>Focused Airflow<br/>Silent Operation and Long Life<br/>Multiple Colors Available<br/>On-the-Fly Light Switching<br/>Excellent Extras,Case Fan,Green,/product/j4H323/bitfenix-case-fan-bfflpro14025grp,BitFenix,Spectre Pro LED,BitFenix Spectre Pro LED 86.7 CFM  140mm Fan,22.8 dbA,BFF-LPRO-14025G-RP,"[16.99, 25.81]",1200 RPM,140mm,,21.4,bitfenix-case-fan-bfflpro14025grp,140.0,86.7 ,86.7 ,86.7,1200 ,1200.0,1200.0,22.8,Yes,0.0
156.3 CFM,Fluid Dynamic Bearings (FDB),Black,High Pressure/CFM Design<br/>Dual Frame Construction<br/>Reinforced Fan Blades<br/>Focused Airflow<br/>Silent Operation and Long Life<br/>On-the-Fly Light Switching<br/>Excellent Extras,Case Fan,Blue,/product/Bzzv6h/bitfenix-case-fan-bfflpro23030brp,BitFenix,,BitFenix BFF-LPRO-23030B-RP 156.3 CFM  230mm Fan,25.6 dbA,BFF-LPRO-23030B-RP,"[23.99, 24.99, 24.99]",900 RPM,230mm,,24.6566666667,bitfenix-case-fan-bfflpro23030brp,230.0,156.3 ,156.3 ,156.3,900 ,900.0,900.0,25.6,Yes,0.0
,Sleeve,Transparent,High-intensity LEDs incorporated for illumination.<br/>No noise in Silent Mode.<br/>Pleasant computing environment with Anti-Vibration Silicone Pins’ effect.,Case Fan,Green,/product/c3Lypg/zalman-case-fan-zmf2gl,Zalman,,Zalman ZM-F2GL 92mm Fan,,ZM-F2GL,[],1500 - 2800 RPM,92mm,,0.0,zalman-case-fan-zmf2gl,92.0,0,0,0.0,1500 - 2800 ,1500.0,2800.0,0.0,Yes,0.0
67.3 CFM,,Black/Green,"This 120 mm model of the Deep Silence fan series is equipped with a 4-pin PWM connector for automatic adjustment of the fan speed. The rotary speed spectrum ranges from 650 to a maximum of 1,500 rounds per minute. The Deep Silence 120 mm PWM 1500 generates an air flow of up to 67.3 CFM at a noise level of not more than 16.9 dB(A). A set of fan shock absorbers as well as a set of fan screws is included.",Case Fan,,/product/CMJwrH/nanoxia-case-fan-nds120pwm1500,Nanoxia,,Nanoxia NDS120PWM-1500 67.3 CFM  120mm Fan,16.9 dbA,NDS120PWM-1500,[23.99],650 - 1400 RPM,120mm,,23.99,nanoxia-case-fan-nds120pwm1500,120.0,67.3 ,67.3 ,67.3,650 - 1400 ,650.0,1400.0,16.9,No,0.0
47.4 CFM,Fluid Dynamic,Black,Silent Operation<br/>Enhanced Airflow<br/>On-the-Fly Light Switching<br/>Aggressive Looks Both On and Off,Case Fan,White,/product/Lhbp99/bitfenix-case-fan-bffblf20020wrp,BitFenix,Spectre LED,BitFenix Spectre LED 47.4 CFM  200mm Fan,20.0 dbA,BFF-BLF-20020W-RP,"[15.99, 22.74, 31.74]",700 RPM,200mm,0.41 mm/H2O,23.49,bitfenix-case-fan-bffblf20020wrp,200.0,47.4 ,47.4 ,47.4,700 ,700.0,700.0,20.0,Yes,0.41
44.0 CFM,Magnetic Barometric,Clear,Exclusive ENLOBAL bearing with magnetic-barometric design to run friction-free and noiseless<br/>Nano-technology composite for lowest abrasion and extreme durability<br/>Detachable fan blades can be cleaned<br/>Best wire management and 3 to 4 pin adaptor,Case Fan,,/product/zbbp99/enermax-case-fan-uc12eb,Enermax,,Enermax UC-12EB 44.0 CFM  120mm Fan,17.0 dbA,UC-12EB,"[6.99, 9.49, 9.98, 11.14, 11.99, 9.49]",1000 RPM,120mm,,9.84666666667,enermax-case-fan-uc12eb,120.0,44.0 ,44.0 ,44.0,1000 ,1000.0,1000.0,17.0,No,0.0
82.1 CFM,UFB (Updraft Floating Balance),Black/White,"MVB(Maelstrom Vortex Booster)<br/>The new nine high pressure MVB blades are precisely angled to generate a silent controlled airflow.  The blades produces a downdraft vortex allowing for greater amount of air passage through and reduce airflow turbulence across the surface of the blades to create significantly better performance and airflow while keeping noise to a minimum.<br/>UFB ( Updraft Floating Balance) Bearing<br/>Composed by MOSS and SSC systems, Phanteks’ UFB bearings have an effective hub-tip ratio to achieve a state of equilibrium reducing air and vibration noise. SSC provides an increase in the bearing’s lifespan and ensures that the fan’s axis is consistently operational and quiet.<br/>Extension cable<br/>Phanteks PH-F140SP_BK_BLED comes bundled with a 400mm extension cable to improve cable management, total up to 900mm cable length for big full-tower case or Radiator fan upgrade.<br/>Acoustic Dampers<br/>Eight pre-installed rubber pads are now bigger and designed to reduce more vibration.",Case Fan,Green,/product/nHhj4D/phanteks-case-fan-phf140spbkgled,Phanteks,,Phanteks PH-F140SP_BK_GLED 82.1 CFM  140mm Fan,19.0 dbA,PH-F140SP_BK_GLED,"[19.99, 19.99]",1200 RPM,140mm,,19.99,phanteks-case-fan-phf140spbkgled,140.0,82.1 ,82.1 ,82.1,1200 ,1200.0,1200.0,19.0,Yes,0.0
59.6 CFM,,Red,"Improve cooling and airflow to your case/system with this Apevia 140mm green UV reactive LED fan. The LEDs illuminate the entire fan and create a very amazing effect. With an ultra violet light (black light), it shines like a jewel in the dark. It offers incredible cooling to increase the longevity and stability of the system and components. Meanwhile, adds glamour and character to your PC.",Case Fan,Red,/product/jfJwrH/apevia-case-fan-14slrd,Apevia,,Apevia 14SL-RD 59.6 CFM  140mm Fan,29.4 dbA,14SL-RD,"[7.99, 7.99, 7.99]",1200 RPM,140mm,,7.99,apevia-case-fan-14slrd,140.0,59.6 ,59.6 ,59.6,1200 ,1200.0,1200.0,29.4,Yes,0.0
21.7 CFM,Hydraulic Bearing,Green,,Case Fan,UV Green,/product/RL3RsY/logisys-case-fan-lt80uvgn,Logisys,,Logisys LT80UVGN 21.7 CFM  80mm Fan,20.0 dbA,LT80UVGN,"[3.98, 3.99, 9.98, 9.98, 12.48]",1800 RPM,80mm,,8.082,logisys-case-fan-lt80uvgn,80.0,21.7 ,21.7 ,21.7,1800 ,1800.0,1800.0,20.0,Yes,0.0
62.5 - 81.5 CFM,Fluid Dynamic,Black/White,"One of world’s most Silence fan with breakthrough technology and innovation.<br/>Beautifully finished “Dual Color and Dual Material Fan” with four color combinations and LEDs.<br/>The world’s first dual-layered fan blades - combination of plastic and rubber fan blades to absorb “Wind” noise.<br/>“Golf Ball” surface design on the back rubber side of the fan blades to minimize the air turbulence.<br/>Optimized fan blade angle design for a perfect balance of airflow and noise.<br/>Noise and shock reduction fan frame incorporating four Silencer Blocks and anti-vibration rubber pads on each mounting holes.<br/>Fluid Dynamic Bearing (FDB) delivers longer life span, higher precision rotation and anti-shock function.<br/>Low starting voltage of 3V.<br/>Four Anti-vibration screws are included for easier installation.<br/>Power cables are ""black"" sleeved with both 3pin and Molex 4pin connectors.<br/>Low speed 7V Voltage Reduction Cable included for ultra-low speed with unrecognizable noise.<br/>Pantent : Taiwan - M 468707 Patent pending : USA/Germany/China",Case Fan,,/product/4kCwrH/aerocool-case-fan-ds120mmwhite,Aerocool,,Aerocool DS 120mm White 81.5 CFM  120mm Fan,14.8 - 23.1 dbA,DS 120mm White,"[15.99, 17.88, 18.99, 19.99]",1100 - 1500 RPM,120mm,,18.2125,aerocool-case-fan-ds120mmwhite,120.0,62.5 - 81.5 ,81.5,62.5,1100 - 1500 ,1100.0,1500.0,23.1,No,0.0
60.0 CFM,Ball,Clear,"4 blue LEDs<br/>50,000 long life hours.<br/>Maximum RPM up to 60CFM<br/>RoHS compliance for protecting the environmen",Case Fan,Blue,/product/jYkD4D/masscool-case-fan-bld12025v1,Masscool,,Masscool BLD-12025V1 60.0 CFM  120mm Fan,23.5 dbA,BLD-12025V1,"[5.89, 5.99, 9.98, 9.99]",1500 RPM,120mm,,7.9625,masscool-case-fan-bld12025v1,120.0,60.0 ,60.0 ,60.0,1500 ,1500.0,1500.0,23.5,Yes,0.0
86.7 CFM,Fluid Dynamic Bearings (FDB),Black,High Pressure/CFM Design<br/>Dual Frame Construction<br/>Reinforced Fan Blades<br/>Focused Airflow<br/>Silent Operation and Long Life<br/>Excellent Extras,Case Fan,,/product/cyGkcf/bitfenix-case-fan-bffspro14025kkrp,BitFenix,,BitFenix BFF-SPRO-14025KK-RP 86.7 CFM  140mm Fan,22.8 dbA,BFF-SPRO-14025KK-RP,"[15.99, 16.99, 31.14]",1200 RPM,140mm,,21.3733333333,bitfenix-case-fan-bffspro14025kkrp,140.0,86.7 ,86.7 ,86.7,1200 ,1200.0,1200.0,22.8,No,0.0
5.6 CFM,Ball,Black,,Case Fan,,/product/JKvRsY/evercool-case-fan-fanec4020m12ca,Evercool,,Evercool FAN-EC4020M12CA 5.6 CFM  40mm Fan,21.0 dbA,FAN-EC4020M12CA,"[5.99, 10.97]",5000 RPM,40mm,,8.48,evercool-case-fan-fanec4020m12ca,40.0,5.6 ,5.6 ,5.6,5000 ,5000.0,5000.0,21.0,No,0.0
29.2 CFM,Ball,Black,Evercool fans deliver the cooling power you need for your performance machine. So don't just cool...Evercool!,Case Fan,,/product/XRvZxr/evercool-case-fan-fanec8020m12ca,Evercool,,Evercool FAN-EC8020M12CA 29.2 CFM  80mm Fan,26.0 dbA,FAN-EC8020M12CA,[5.99],2500 RPM,80mm,,5.99,evercool-case-fan-fanec8020m12ca,80.0,29.2 ,29.2 ,29.2,2500 ,2500.0,2500.0,26.0,No,0.0
97.8 CFM,Fluid Dynamic,White,Silent Operation<br/>Enhanced Airflow<br/>Fluid Dynamic Bearings<br/>Aggressive Looks,Case Fan,,/product/Zx8Zxr/bitfenix-case-fan-bffscf23030wwrp,BitFenix,Spectre,BitFenix Spectre 97.8 CFM  230mm Fan,20.0 dbA,BFF-SCF-23030WW-RP,"[10.93, 19.99]",900 RPM,230mm,,15.46,bitfenix-case-fan-bffscf23030wwrp,230.0,97.8 ,97.8 ,97.8,900 ,900.0,900.0,20.0,No,0.0
62.5 - 81.5 CFM,Fluid Dynamic,Black/Blue,"One of world’s most Silence fan with breakthrough technology and innovation.<br/>Beautifully finished “Dual Color and Dual Material Fan” with four color combinations and LEDs.<br/>The world’s first dual-layered fan blades - combination of plastic and rubber fan blades to absorb “Wind” noise.<br/>“Golf Ball” surface design on the back rubber side of the fan blades to minimize the air turbulence.<br/>Optimized fan blade angle design for a perfect balance of airflow and noise.<br/>Noise and shock reduction fan frame incorporating four Silencer Blocks and anti-vibration rubber pads on each mounting holes.<br/>Fluid Dynamic Bearing (FDB) delivers longer life span, higher precision rotation and anti-shock function.<br/>Low starting voltage of 3V.<br/>Four Anti-vibration screws are included for easier installation.<br/>Power cables are ""black"" sleeved with both 3pin and Molex 4pin connectors.<br/>Low speed 7V Voltage Reduction Cable included for ultra-low speed with unrecognizable noise.<br/>Pantent : Taiwan - M 468707 Patent pending : USA/Germany/China",Case Fan,,/product/rCsKHx/aerocool-case-fan-ds120mmblue,Aerocool,,Aerocool DS 120mm Blue 81.5 CFM  120mm Fan,14.8 - 23.1 dbA,DS 120mm Blue,"[15.99, 17.98, 18.99, 18.99]",1100 - 1500 RPM,120mm,,17.9875,aerocool-case-fan-ds120mmblue,120.0,62.5 - 81.5 ,81.5,62.5,1100 - 1500 ,1100.0,1500.0,23.1,No,0.0
84.0 CFM,,Black/Gray,,Case Fan,,/product/kFgPxr/ek-case-fan-3831109867570,EK,Vardar F2-140,EK Vardar F2-140 84.0 CFM  140mm Fan,31.6 dbA,3831109867570,[],1600 RPM,140mm,1.90 mm/H2O,0.0,ek-case-fan-3831109867570,140.0,84.0 ,84.0 ,84.0,1600 ,1600.0,1600.0,31.6,No,1.9
32.6 - 54.4 CFM,Rifle,White,,Case Fan,,/product/hKfp99/be-quiet-case-fan-bl025,be quiet!,SHADOW WINGS,be quiet! SHADOW WINGS 54.4 CFM  92mm Fan,17.8 dbA,BL025,[],1800 RPM,92mm,1.98 mm/H2O,0.0,be-quiet-case-fan-bl025,92.0,32.6 - 54.4 ,54.4,32.6,1800 ,1800.0,1800.0,17.8,No,1.98
33.6 CFM,Sleeve,Black,Weight: 5.6 oz.,Case Fan,Blue,/product/CkxfrH/antec-case-fan-twocool140blue,Antec,,Antec Two Cool 140 Blue 33.6 CFM  140mm Fan,21.8 - 26.0 dbA,Two Cool 140 Blue,"[9.99, 9.99, 13.99]",800 - 1200 RPM,140mm,,11.3233333333,antec-case-fan-twocool140blue,140.0,33.6 ,33.6 ,33.6,800 - 1200 ,800.0,1200.0,26.0,Yes,0.0
24.9 - 63.9 CFM,,Transparent,Spiral LEDs with 18 diodes<br/>Up to 6 lighting effects<br/>Reflex blade design enhances LED brightness<br/>Vortex frame design integrates air flow for better cooling performance<br/>PWM speed control for the best balance of performance and silence,Case Fan,Blue,/product/9bmLrH/lepa-case-fan-lpvc1c12pbl,LEPA,Casino 1C,LEPA Casino 1C 63.9 CFM  120mm Fan,15.0 - 25.0 dbA,LPVC1C12P-BL,"[14.49, 14.98, 16.96]",600 - 1600 RPM,120mm,,15.4766666667,lepa-case-fan-lpvc1c12pbl,120.0,24.9 - 63.9 ,63.9,24.9,600 - 1600 ,600.0,1600.0,25.0,Yes,0.0
43.0 CFM,2 Ball,Black,Continuous Operation<br/>Constantly Silent<br/>Quick and Easy Setup,Case Fan,,/product/gvXfrH/arctic-cooling-case-fan-afaco090pcgba01,ARCTIC,Arctic F9 PWM CO,ARCTIC Arctic F9 PWM CO 43.0 CFM  92mm Fan,,AFACO-090PC-GBA01,"[11.49, 11.88, 11.99, 16.97, 8.9]",550 - 1800 RPM,92mm,,12.246,arctic-cooling-case-fan-afaco090pcgba01,92.0,43.0 ,43.0 ,43.0,550 - 1800 ,550.0,1800.0,0.0,No,0.0
23.6 CFM,,Black/Green,"This 92 mm model of the Deep Silence fan series is equipped with a 4-pin PWM connector for automatic adjustment of the fan speed. The rotary speed spectrum ranges from 400 to a maximum of 1,400 rounds per minute. The Deep Silence 92 mm PWM 1400 generates an air flow of up to 23.6 CFM at a noise level of not more than 13.7 dB(A). A set of fan shock absorbers as well as a set of fan screws is included.",Case Fan,,/product/Gd4gXL/nanoxia-case-fan-nds92pwm1400,Nanoxia,,Nanoxia NDS92PWM-1400 23.6 CFM  92mm Fan,13.7 dbA,NDS92PWM-1400,"[12.99, 23.99, 28.97]",400 - 1400 RPM,92mm,,21.9833333333,nanoxia-case-fan-nds92pwm1400,92.0,23.6 ,23.6 ,23.6,400 - 1400 ,400.0,1400.0,13.7,No,0.0
56.2 CFM,Fluid Dynamic,Clear,High Pressure/CFM Design<br/>Dual Frame Construction<br/>Reinforced Fan Blades<br/>Focused Airflow<br/>Silent Operation and Long Life<br/>Multiple Colors Available<br/>On-the-Fly Light Switching<br/>Excellent Extras,Case Fan,Green,/product/B8DwrH/bitfenix-case-fan-bfflpro12025grp,BitFenix,Spectre Pro LED,BitFenix Spectre Pro LED 56.2 CFM  120mm Fan,18.9 dbA,BFF-LPRO-12025G-RP,"[14.99, 15.99, 15.99]",1200 RPM,120mm,1.24 mm/H2O,15.6566666667,bitfenix-case-fan-bfflpro12025grp,120.0,56.2 ,56.2 ,56.2,1200 ,1200.0,1200.0,18.9,Yes,1.24
25.6 CFM,,Blue,,Case Fan,Blue,/product/8WFPxr/apevia-case-fan-cf4slublled,Apevia,,Apevia CF4SL-UBL-LED 25.6 CFM  80mm Fan,22.1 dbA,CF4SL-UBL-LED,[5.29],2000 RPM,80mm,1.64 mm/H2O,5.29,apevia-case-fan-cf4slublled,80.0,25.6 ,25.6 ,25.6,2000 ,2000.0,2000.0,22.1,Yes,1.64
28.1 CFM,Nanoflux Bearing (NFB),Black/Green,"Optimized Winglet Fan Blades<br/>Waterproof &amp; Dustproof<br/>Long Lifetime (100'000 h MTTF at 40 degree C)<br/>Silicone Fan Mounts<br/>Safety Approvals:  UL, CUL, CE, RoHS Compliant",Case Fan,,/product/B2h9TW/gelid-solutions-case-fan-fnfw0820,Gelid Solutions,,Gelid Solutions FN-FW08-20 28.1 CFM  80mm Fan,10.0 - 21.0 dbA,FN-FW08-20,"[7.43, 10.89, 16.99, 17.25, 18.25]",2000 RPM,80mm,,14.162,gelid-solutions-case-fan-fnfw0820,80.0,28.1 ,28.1 ,28.1,2000 ,2000.0,2000.0,21.0,No,0.0
32.0 CFM,3rd generation fluid dynamic bearings,Clear,Power:<br/>Operating voltage: 6-14V<br/>Current draw: 0.13A<br/>Power consumption: 1.56W,Case Fan,Blue,/product/NkphP6/silenx-case-fan-efx0815b,SilenX,,SilenX EFX-08-15B 32.0 CFM  80mm Fan,15.0 dbA,EFX-08-15B,"[9.88, 9.99, 12.17, 14.99, 13.99]",1700 RPM,80mm,,12.204,silenx-case-fan-efx0815b,80.0,32.0 ,32.0 ,32.0,1700 ,1700.0,1700.0,15.0,Yes,0.0
90.0 CFM,2 Ball,Black,"Delta's 92x25mm FFB0912SH uses the same great directional fin design, but in a 25mm form factor. This DC fan puts out just over 90 cubic feet of air every minute at 50 dB-A, this is the highest CFM 92x25mm fans readily available, and should be easily controlled by any modern motherboard or fan controller with it's power requirements. The FFB features the directional fin design that force air to flow exactly where it's needed and achieve minimum noise under high airflow and air pressure.<br/>This fan comes with standard 3 pin power and RPM TAC output through its 3 Pin connector.",Case Fan,,/product/v6Gkcf/delta-electronics-case-fan-ffb0912shf00,Delta Electronics,,Delta Electronics FFB0912SH-F00 90.0 CFM  92mm Fan,50.0 dbA,FFB0912SH-F00,"[21.99, 26.97]",4100 RPM,92mm,,24.48,delta-electronics-case-fan-ffb0912shf00,92.0,90.0 ,90.0 ,90.0,4100 ,4100.0,4100.0,50.0,No,0.0
67.0 CFM,Sleeve,Clear,,Case Fan,Blue,/product/XBDzK8/thermaltake-case-fan-clf014pl14bua,Thermaltake,,Thermaltake CL-F014-PL14BU-A 67.0 CFM  140mm Fan,20.0 dbA,CL-F014-PL14BU-A,"[10.99, 12.99, 12.99]",1000 RPM,140mm,,12.3233333333,thermaltake-case-fan-clf014pl14bua,140.0,67.0 ,67.0 ,67.0,1000 ,1000.0,1000.0,20.0,Yes,0.0
53.0 CFM,Z-AXIS,Black/White,"extreme silent, extreme minimum speed, extreme low power consumption<br/>Silent operation with minimum 150RPM<br/>Precise speed control reduces power consumption<br/>60,000 Hours life time<br/>4-PIN PWM function",Case Fan,,/product/QZsKHx/titan-case-fan-tfd9515m12zp,Titan,,Titan TFD-9515M12ZP 53.0 CFM  120mm Fan,5.0 - 28.6 dbA,TFD-9515M12ZP,[11.99],150 - 1500 RPM,120mm,,11.99,titan-case-fan-tfd9515m12zp,120.0,53.0 ,53.0 ,53.0,150 - 1500 ,150.0,1500.0,28.6,No,0.0
34.7 CFM,,Black/Green,"The 120 mm models of the Deep Silence fan series are supplied with a 7 volt adapter cable. At 12 volts the fan rotates at 1,800 revolutions per minute. The Deep Silence 120 mm generates an air flow of 72.1 CFM at a noise level of 19.9 dB(A). Using the 7 volt cable reduces the speed to approx. 1,100 rpm, which generates and air flow of 34,7 CFM at 12,2 dB(A)",Case Fan,,/product/L32rxr/nanoxia-case-fan-nds1201800,Nanoxia,,Nanoxia NDS120-1800 34.7 CFM  120mm Fan,12.2 - 19.9 dbA,NDS120-1800,[],1100 - 1800 RPM,120mm,,0.0,nanoxia-case-fan-nds1201800,120.0,34.7 ,34.7 ,34.7,1100 - 1800 ,1100.0,1800.0,19.9,No,0.0
66.0 CFM,Fluid Dynamic,Black/Green,,Case Fan,Green,/product/wW4NnQ/bitfenix-case-fan-bffsxtr12025grp,BitFenix,,BitFenix BFF-SXTR-12025G-RP 66.0 CFM  120mm Fan,30.0 dbA,BFF-SXTR-12025G-RP,"[14.99, 19.99, 16.99, 32.95]",950 - 2000 RPM,120mm,2.74 mm/H2O,21.23,bitfenix-case-fan-bffsxtr12025grp,120.0,66.0 ,66.0 ,66.0,950 - 2000 ,950.0,2000.0,30.0,Yes,2.74
60.5 CFM,Fluid Circulative Bearing,Clear,Performing max. Air flow and mini. amount of noise<br/>Less power consumption.<br/>Optimal static pressure and torque.<br/>Reduce noise and power consumption.<br/>Quad LEDs and transparent frame and blades<br/>Reliable and outstanding performance,Case Fan,White,/product/sqjG3C/xigmatek-case-fan-clff1454,Xigmatek,,Xigmatek CLF-F1454 60.5 CFM  140mm Fan,16.0 dbA,CLF-F1454,[13.99],1000 RPM,140mm,,13.99,xigmatek-case-fan-clff1454,140.0,60.5 ,60.5 ,60.5,1000 ,1000.0,1000.0,16.0,Yes,0.0
